lokacija,povrsina,cena,razdalja,datum
"Laško, Laško",66 m2,550 €,58.92 km,02.10.2024
"Celje, Pečovnik",70 m2,200 €,61.60 km,01.10.2024
"Primorsko-goranska, Rijeka",161 m2,899.000 €,77.66 km,01.10.2024
"Primorsko-goranska, Opatija",100 m2,1.500 €,79.60 km,01.10.2024
"Primorsko-goranska, Opatija",250 m2,2.700 €,79.54 km,01.10.2024
"Primorsko-goranska, Opatija",100 m2,1.500 €,79.63 km,01.10.2024
"Primorsko-goranska, Lovran",383 m2,950.000 €,86.67 km,01.10.2024
"Primorsko-goranska, Opatija - Okolica",809.45 m2,1.450.000 €,80.80 km,01.10.2024
"Bovec, Bovec",55 m2,178.000 €,78.98 km,30.09.2024
"Primorsko-goranska, Vinodolska Općina",200 m2,600.000 €,94.20 km,30.09.2024
"Primorsko-goranska, Rijeka",113 m2,390.000 €,77.69 km,30.09.2024
"Primorsko-goranska, Rijeka",66.3 m2,260.000 €,77.71 km,30.09.2024
"Primorsko-goranska, Crikvenica",62.77 m2,420.000 €,96.26 km,30.09.2024
"Primorsko-goranska, Crikvenica",160 m2,620.000 €,96.41 km,30.09.2024
"Primorsko-goranska, Opatija",158 m2,1 €,79.31 km,30.09.2024
"Primorsko-goranska, Opatija",158 m2,100 €,79.51 km,30.09.2024
"Primorsko-goranska, Bakar",270 m2,100 €,78.56 km,30.09.2024
"Primorsko-goranska, Rijeka",76.8 m2,400.000 €,77.55 km,30.09.2024
"Primorsko-goranska, Delnice",267 m2,650.000 €,70.43 km,30.09.2024
"Primorsko-goranska, Opatija",95.23 m2,620.000 €,79.53 km,30.09.2024
"Primorsko-goranska, Mošćenička Draga",94 m2,290.000 €,94.34 km,30.09.2024
"Primorsko-goranska, Opatija",348 m2,1 €,79.43 km,30.09.2024
"Primorsko-goranska, Lovran",110 m2,760.000 €,86.79 km,30.09.2024
"Istrska, Buzet",350 m2,230.000 €,82.52 km,30.09.2024
"Primorsko-goranska, Opatija",144.3 m2,1.250.000 €,79.42 km,30.09.2024
"Primorsko-goranska, Matulji",172 m2,425.000 €,72.14 km,30.09.2024
"Ljubljana Vič Rudnik, Rožna dolina",89.9 m2,336.000 €,673 km,30.09.2024
"Primorsko-goranska, Opatija",337.4 m2,730.000 €,79.73 km,27.09.2024
"Naklo, Spodnje Duplje",202.1 m2,1.250.000 €,32.13 km,27.09.2024
"Bovec, Bovec",58.17 m2,190.000 €,78.98 km,27.09.2024
"Primorsko-goranska, Opatija",82 m2,775.000 €,79.55 km,26.09.2024
"Primorsko-goranska, Opatija",118 m2,415.000 €,79.50 km,26.09.2024
"Primorsko-goranska, Rijeka",29 m2,599 €,77.54 km,24.09.2024
"Primorsko-goranska, Viškovo",61.75 m2,225.000 €,73.23 km,24.09.2024
"Primorsko-goranska, Viškovo",125.72 m2,458.000 €,73.00 km,24.09.2024
"Istrska, Umag",79.8 m2,365.000 €,98.74 km,24.09.2024
"Primorsko-goranska, Rijeka",131.4 m2,100 €,77.70 km,24.09.2024
"Primorsko-goranska, Opatija",59 m2,335.000 €,79.50 km,23.09.2024
"Primorsko-goranska, Crikvenica",300 m2,799.000 €,96.25 km,23.09.2024
"Istrska, Umag",84.9 m2,396.000 €,98.69 km,20.09.2024
"Primorsko-goranska, Opatija",261.39 m2,1.699.000 €,79.47 km,20.09.2024
"Primorsko-goranska, Lovran",94 m2,1.250.000 €,87.04 km,20.09.2024
"Primorsko-goranska, Opatija - Okolica",400 m2,425.000 €,80.79 km,20.09.2024
"Primorsko-goranska, Opatija",261.39 m2,1.699.000 €,79.49 km,20.09.2024
"Primorsko-goranska, Opatija",97 m2,500.000 €,79.53 km,20.09.2024
"Primorsko-goranska, Kastav",72.88 m2,265.000 €,75.31 km,20.09.2024
"Primorsko-goranska, Kastav",83.76 m2,330.000 €,75.19 km,20.09.2024
"Primorsko-goranska, Kastav",84.61 m2,312.000 €,75.18 km,20.09.2024
"Primorsko-goranska, Viškovo",82 m2,220.000 €,73.14 km,20.09.2024
"Primorsko-goranska, Kastav",73.01 m2,265.100 €,75.22 km,20.09.2024
"Primorsko-goranska, Opatija",134.33 m2,846.216 €,79.52 km,20.09.2024
"Primorsko-goranska, Crikvenica",78.3 m2,565.000 €,96.09 km,20.09.2024
"Primorsko-goranska, Matulji",200 m2,450.000 €,72.19 km,20.09.2024
"Primorsko-goranska, Mošćenička Draga",280 m2,300.000 €,94.38 km,20.09.2024
"Primorsko-goranska, Opatija",198.9 m2,500.000 €,79.52 km,20.09.2024
"Primorsko-goranska, Matulji",123 m2,400.000 €,72.28 km,20.09.2024
"Primorsko-goranska, Matulji",127 m2,350.000 €,72.23 km,20.09.2024
"Primorsko-goranska, Rijeka",95 m2,320.000 €,77.44 km,20.09.2024
"Istrska, Oprtalj",125 m2,225.000 €,88.31 km,20.09.2024
"Primorsko-goranska, Lovran",189.6 m2,1.043.000 €,86.91 km,19.09.2024
"Ljubljana Vič Rudnik, Vič - Dolgi most",127 m2,549.000 €,1.33 km,18.09.2024
"Ljubljana Vič Rudnik, Vič - Dolgi most",153.38 m2,645.000 €,1.33 km,18.09.2024
"Primorsko-goranska, Crikvenica",296 m2,580.000 €,96.14 km,18.09.2024
"Primorsko-goranska, Rijeka",104 m2,1.200 €,77.36 km,18.09.2024
"Ljubljana Vič Rudnik, Vič - Dolgi most",152.49 m2,599.900 €,1.33 km,17.09.2024
"Primorsko-goranska, Opatija",106.36 m2,686.500 €,79.49 km,17.09.2024
"Primorsko-goranska, Rijeka",130 m2,1.300 €,77.67 km,17.09.2024
"Primorsko-goranska, Rijeka",69 m2,130.000 €,77.64 km,17.09.2024
"Primorsko-goranska, Crikvenica",140 m2,265.000 €,96.33 km,17.09.2024
"Primorsko-goranska, Rijeka",149.5 m2,450.000 €,77.78 km,17.09.2024
"Primorsko-goranska, Rijeka",143 m2,450.000 €,77.57 km,17.09.2024
"Primorsko-goranska, Mošćenička Draga",150 m2,490.000 €,94.42 km,17.09.2024
"Primorsko-goranska, Opatija",261.39 m2,1.699.000 €,79.53 km,17.09.2024
"Primorsko-goranska, Opatija",131.82 m2,830.466 €,79.49 km,17.09.2024
"Primorsko-goranska, Opatija - Okolica",425 m2,2.000.000 €,80.72 km,17.09.2024
"Primorsko-goranska, Opatija",53 m2,450.000 €,79.69 km,17.09.2024
"Istrska, Buzet",70 m2,95.000 €,82.78 km,17.09.2024
"Primorsko-goranska, Mrkopalj",181 m2,185.000 €,90.17 km,17.09.2024
"Primorsko-goranska, Opatija",70.81 m2,290.000 €,79.47 km,17.09.2024
"Primorsko-goranska, Rijeka",41 m2,310.000 €,77.49 km,17.09.2024
"Ljubljana Vič Rudnik, Vič - Dolgi most",176.94 m2,719.000 €,1.33 km,17.09.2024
"Primorsko-goranska, Lovran",441.08 m2,1.100.000 €,87.09 km,17.09.2024
"Primorsko-goranska, Rijeka",135 m2,430.000 €,77.58 km,17.09.2024
"Primorsko-goranska, Rijeka",127 m2,280.000 €,77.51 km,14.09.2024
"Istrska, Umag",86.2 m2,378.000 €,98.81 km,13.09.2024
"Mislinja, Mislinja",93 m2,65.000 €,70.24 km,12.09.2024
"Ljubljana Vič Rudnik, Brdo",254.3 m2,1.350.000 €,1.65 km,10.09.2024
"Tržič, Bistrica pri Tržiču",171 m2,460.000 €,39.53 km,10.09.2024
"Primorsko-goranska, Vinodolska Općina",130 m2,85.000 €,94.19 km,10.09.2024
"Primorsko-goranska, Matulji",100 m2,180.000 €,72.23 km,10.09.2024
"Istrska, Umag",86.2 m2,396.000 €,98.87 km,06.09.2024
"Ljubljana Center, Center",55.3 m2,365.000 €,2.37 km,04.09.2024
"Istrska, Umag",93.08 m2,560.250 €,98.78 km,03.09.2024
"Primorsko-goranska, Matulji",390 m2,1.210.000 €,72.11 km,29.08.2024
"Primorsko-goranska, Matulji",130 m2,405.000 €,72.14 km,29.08.2024
"Primorsko-goranska, Matulji",130 m2,405.000 €,72.28 km,29.08.2024
"Primorsko-goranska, Matulji",130 m2,405.000 €,72.10 km,29.08.2024
"Primorsko-goranska, Matulji",130 m2,405.000 €,72.11 km,29.08.2024
"Primorsko-goranska, Opatija",59.08 m2,340.000 €,79.52 km,29.08.2024
"Primorsko-goranska, Lovran",44 m2,219.000 €,87.08 km,29.08.2024
"Primorsko-goranska, Bakar",105 m2,415.000 €,78.42 km,27.08.2024
"Primorsko-goranska, Bakar",120 m2,398.000 €,78.40 km,27.08.2024
"Primorsko-goranska, Bakar",115 m2,415.000 €,78.47 km,27.08.2024
"Primorsko-goranska, Opatija - Okolica",150 m2,320.000 €,80.76 km,27.08.2024
"Primorsko-goranska, Delnice",300 m2,580.000 €,70.31 km,27.08.2024
"Primorsko-goranska, Rijeka",240 m2,650.000 €,77.57 km,27.08.2024
"Primorsko-goranska, Opatija - Okolica",400 m2,1.200.000 €,80.80 km,23.08.2024
"Vrhnika, Sinja Gorica",111.3 m2,298.000 €,15.67 km,22.08.2024
"Primorsko-goranska, Opatija - Okolica",430 m2,1.350.000 €,80.79 km,20.08.2024
"Lukovica, Trojane",98.2 m2,185.000 €,34.90 km,20.08.2024
"Piran, Piran",25.9 m2,137.000 €,91.08 km,14.08.2024
"Istrska, Buje",176 m2,670.000 €,93.17 km,14.08.2024
"Primorsko-goranska, Matulji",380 m2,470.000 €,72.13 km,13.08.2024
"Primorsko-goranska, Lovran",98.76 m2,550.000 €,86.90 km,09.08.2024
"Primorsko-goranska, Rijeka",70 m2,299.000 €,77.76 km,09.08.2024
"Istrska, Kršan",227 m2,825.000 €,97.85 km,09.08.2024
"Primorsko-goranska, Opatija",117 m2,2.000 €,79.47 km,06.08.2024
"Ljubljana Šiška, Gunclje",120 m2,468.800 €,6.81 km,29.07.2024
"Primorsko-goranska, Matulji",304 m2,495.000 €,72.26 km,25.07.2024
"Istrska, Buzet",440 m2,100 €,82.73 km,24.07.2024
"Primorsko-goranska, Opatija - Okolica",180 m2,410.000 €,81.00 km,24.07.2024
"Istrska, Buzet",101 m2,1.600.000 €,82.49 km,23.07.2024
"Istrska, Umag",80.17 m2,257.000 €,98.61 km,18.07.2024
"Istrska, Umag",82.9 m2,266.000 €,98.69 km,18.07.2024
"Primorsko-goranska, Crikvenica",180 m2,315.000 €,96.21 km,16.07.2024
"Primorsko-goranska, Opatija - Okolica",84 m2,288.000 €,80.60 km,16.07.2024
"Primorsko-goranska, Opatija - Okolica",240 m2,520.000 €,80.87 km,16.07.2024
"Primorsko-goranska, Viškovo",470 m2,566.000 €,73.28 km,16.07.2024
"Primorsko-goranska, Mošćenička Draga",294 m2,190.000 €,94.48 km,16.07.2024
"Primorsko-goranska, Opatija - Okolica",272 m2,1.250.000 €,80.76 km,16.07.2024
"Primorsko-goranska, Opatija",261.01 m2,1.696.000 €,79.46 km,16.07.2024
"Primorsko-goranska, Kostrena",249.78 m2,850.000 €,82.93 km,16.07.2024
"Primorsko-goranska, Kostrena",251.05 m2,850.000 €,82.99 km,16.07.2024
"Primorsko-goranska, Opatija",545.79 m2,2.450.000 €,79.51 km,16.07.2024
"Primorsko-goranska, Opatija - Okolica",75.83 m2,475.000 €,80.80 km,16.07.2024
"Bled, Bodešče",93.4 m2,390.000 €,43.15 km,16.07.2024
"Šentjur, Lutrje",90 m2,145.000 €,77.17 km,16.07.2024
"Ljubljana Center, Trnovo",220.6 m2,2.050.000 €,1.65 km,16.07.2024
"Šentjur, Šedina",57 m2,127.000 €,74.36 km,12.07.2024
"Primorsko-goranska, Kostrena",230 m2,100 €,82.94 km,12.07.2024
"Istrska, Umag",66.84 m2,244.000 €,98.80 km,12.07.2024
"Primorsko-goranska, Kostrena",230 m2,100 €,82.98 km,12.07.2024
"Istrska, Umag",66.84 m2,250.000 €,98.73 km,12.07.2024
"Istrska, Umag",64.54 m2,260.000 €,98.79 km,12.07.2024
"Piran, Portorož",78.7 m2,1.270.000 €,89.82 km,11.07.2024
"Ljubljana Center, Center",170 m2,750.000 €,2.36 km,11.07.2024
"Primorsko-goranska, Opatija",55 m2,475.000 €,79.45 km,10.07.2024
"Istrska, Grožnjan",145 m2,650.000 €,92.28 km,10.07.2024
"Primorsko-goranska, Opatija - Okolica",60.5 m2,1.000 €,80.83 km,05.07.2024
"Primorsko-goranska, Opatija",97 m2,625.000 €,79.74 km,04.07.2024
"Primorsko-goranska, Crikvenica",110 m2,550.000 €,96.22 km,04.07.2024
"Primorsko-goranska, Mrkopalj",90.75 m2,72.850 €,90.43 km,02.07.2024
"Primorsko-goranska, Kostrena",330 m2,900.000 €,83.06 km,02.07.2024
"Istrska, Grožnjan",343 m2,100 €,92.42 km,02.07.2024
"Primorsko-goranska, Matulji",130 m2,645.000 €,72.15 km,26.06.2024
"Zagrebška, Samobor - Okolica",98.54 m2,246.251 €,93.98 km,26.06.2024
"Primorsko-goranska, Rijeka",220 m2,589.000 €,77.55 km,26.06.2024
"Primorsko-goranska, Crikvenica",52.01 m2,230.000 €,96.30 km,25.06.2024
"Primorsko-goranska, Opatija - Okolica",617.75 m2,100 €,80.95 km,19.06.2024
"Primorsko-goranska, Opatija",183.59 m2,100 €,79.36 km,19.06.2024
"Istrska, Umag",91.44 m2,399.000 €,98.81 km,19.06.2024
"Ljubljana Center, Center",90.7 m2,2.600 €,2.18 km,18.06.2024
"Primorsko-goranska, Mošćenička Draga",120.5 m2,691.000 €,94.31 km,18.06.2024
"Istrska, Umag",300 m2,1.600.000 €,98.90 km,17.06.2024
"Istrska, Pazin",110 m2,230.000 €,98.47 km,17.06.2024
"Vrhnika, Blatna Brezovica",99.1 m2,379.000 €,13.95 km,17.06.2024
"Primorsko-goranska, Opatija - Okolica",750 m2,1.250.000 €,80.87 km,14.06.2024
"Primorsko-goranska, Rijeka",186 m2,360.000 €,77.62 km,13.06.2024
"Primorsko-goranska, Kostrena",150 m2,580.000 €,82.92 km,13.06.2024
"Primorsko-goranska, Opatija",43 m2,480.000 €,79.63 km,13.06.2024
"Primorsko-goranska, Matulji",153.46 m2,570.000 €,72.19 km,13.06.2024
"Primorsko-goranska, Opatija",158.52 m2,100 €,79.45 km,12.06.2024
"Primorsko-goranska, Matulji",85.42 m2,498.000 €,71.94 km,12.06.2024
"Primorsko-goranska, Rijeka",78.19 m2,248.000 €,77.73 km,11.06.2024
"Kranjska Gora, Kranjska Gora",39.6 m2,278.000 €,72.48 km,11.06.2024
"Primorsko-goranska, Opatija",78.82 m2,570.000 €,79.53 km,10.06.2024
"Primorsko-goranska, Matulji",310 m2,570.000 €,72.37 km,10.06.2024
"Bovec, Bovec",93 m2,220.000 €,78.55 km,07.06.2024
"Istrska, Umag",56.05 m2,215.000 €,98.92 km,06.06.2024
"Istrska, Umag",55.92 m2,210.000 €,98.52 km,05.06.2024
"Primorsko-goranska, Opatija - Okolica",123.8 m2,400.000 €,80.87 km,01.06.2024
"Istrska, Buzet",161.71 m2,395.000 €,82.60 km,01.06.2024
"Primorsko-goranska, Opatija",52 m2,100 €,79.46 km,31.05.2024
"Primorsko-goranska, Matulji",290 m2,100 €,72.10 km,31.05.2024
"Primorsko-goranska, Mrkopalj",150 m2,235.000 €,90.40 km,31.05.2024
"Primorsko-goranska, Vinodolska Općina",150 m2,169.000 €,94.17 km,31.05.2024
"Ig, Ig",722 m2,950.000 €,9.84 km,29.05.2024
"Izola, Izola",18.6 m2,125.000 €,85.15 km,28.05.2024
"Primorsko-goranska, Kastav",71.87 m2,261.000 €,75.08 km,28.05.2024
"Primorsko-goranska, Kastav",85.57 m2,311.000 €,75.18 km,28.05.2024
"Istrska, Umag",57 m2,321.000 €,98.84 km,25.05.2024
"Primorsko-goranska, Rijeka",42.26 m2,139.000 €,77.67 km,25.05.2024
"Primorsko-goranska, Crikvenica",122.81 m2,429.835 €,96.06 km,24.05.2024
"Primorsko-goranska, Lovran",120.31 m2,398.000 €,86.81 km,24.05.2024
"Primorsko-goranska, Crikvenica",109.97 m2,350.000 €,96.45 km,24.05.2024
"Primorsko-goranska, Crikvenica",112 m2,333.000 €,96.20 km,24.05.2024
"Primorsko-goranska, Opatija",270 m2,750.000 €,79.52 km,24.05.2024
"Primorsko-goranska, Opatija",244 m2,1.200.000 €,79.67 km,24.05.2024
"Primorsko-goranska, Bakar",160 m2,219.000 €,78.37 km,24.05.2024
"Primorsko-goranska, Lovran",732 m2,2.500.000 €,86.90 km,24.05.2024
"Primorsko-goranska, Opatija",70.46 m2,520.000 €,79.30 km,24.05.2024
"Istrska, Buzet",22 m2,45.000 €,82.53 km,24.05.2024
"Istrska, Kršan",100 m2,475.000 €,97.81 km,24.05.2024
"Istrska, Pazin - Okolica",300 m2,730.000 €,98.65 km,24.05.2024
"Primorsko-goranska, Rijeka",88 m2,200.000 €,77.54 km,24.05.2024
"Primorsko-goranska, Matulji",400 m2,565.000 €,72.22 km,24.05.2024
"Primorsko-goranska, Rijeka",121 m2,449.000 €,77.64 km,24.05.2024
"Primorsko-goranska, Opatija",210.33 m2,100 €,79.52 km,24.05.2024
"Primorsko-goranska, Crikvenica",315 m2,1.250.000 €,96.39 km,24.05.2024
"Primorsko-goranska, Crikvenica",115 m2,480.000 €,96.13 km,24.05.2024
"Primorsko-goranska, Crikvenica",182 m2,770.000 €,96.43 km,24.05.2024
"Primorsko-goranska, Mošćenička Draga",160 m2,199.000 €,94.30 km,24.05.2024
"Primorsko-goranska, Vinodolska Općina",43 m2,83.000 €,94.11 km,24.05.2024
"Primorsko-goranska, Vinodolska Općina",60 m2,119.000 €,94.21 km,24.05.2024
"Primorsko-goranska, Opatija - Okolica",77 m2,220.000 €,80.82 km,24.05.2024
"Primorsko-goranska, Vinodolska Općina",330 m2,322.000 €,94.22 km,24.05.2024
"Primorsko-goranska, Opatija",108.51 m2,530.000 €,79.48 km,24.05.2024
"Primorsko-goranska, Opatija - Okolica",108 m2,1.800 €,80.91 km,24.05.2024
"Primorsko-goranska, Opatija - Okolica",146 m2,260.000 €,80.78 km,24.05.2024
"Primorsko-goranska, Vinodolska Općina",93 m2,125.000 €,94.20 km,24.05.2024
"Primorsko-goranska, Matulji",650 m2,1.500.000 €,72.08 km,24.05.2024
"Primorsko-goranska, Opatija",227.5 m2,1.850.000 €,79.51 km,24.05.2024
"Primorsko-goranska, Opatija",128.52 m2,100 €,79.51 km,24.05.2024
"Primorsko-goranska, Viškovo",520 m2,890.000 €,72.97 km,24.05.2024
"Primorsko-goranska, Matulji",143.15 m2,459.000 €,72.20 km,24.05.2024
"Primorsko-goranska, Opatija - Okolica",136.32 m2,2.500 €,80.73 km,24.05.2024
"Primorsko-goranska, Kastav",109.14 m2,350.000 €,75.06 km,24.05.2024
"Primorsko-goranska, Rijeka",58 m2,295.000 €,77.50 km,24.05.2024
"Primorsko-goranska, Rijeka",90 m2,469.000 €,77.42 km,24.05.2024
"Primorsko-goranska, Opatija",150 m2,2.200 €,79.38 km,24.05.2024
"Primorsko-goranska, Rijeka",100 m2,538.000 €,77.59 km,24.05.2024
"Primorsko-goranska, Crikvenica",55.46 m2,280.000 €,96.38 km,24.05.2024
"Primorsko-goranska, Rijeka",110 m2,415.000 €,77.49 km,24.05.2024
"Primorsko-goranska, Crikvenica",100 m2,312.000 €,96.10 km,24.05.2024
"Primorsko-goranska, Opatija",185 m2,900.000 €,79.72 km,24.05.2024
"Primorsko-goranska, Fužine",124 m2,415.000 €,84.35 km,24.05.2024
"Primorsko-goranska, Crikvenica",47 m2,166.000 €,96.10 km,24.05.2024
"Primorsko-goranska, Rijeka",82 m2,250.000 €,77.57 km,24.05.2024
"Primorsko-goranska, Opatija",76.43 m2,2.300 €,79.53 km,24.05.2024
"Primorsko-goranska, Opatija",107 m2,395.000 €,79.48 km,24.05.2024
"Primorsko-goranska, Opatija",43 m2,395.000 €,79.48 km,24.05.2024
"Primorsko-goranska, Opatija",187 m2,820.000 €,79.58 km,24.05.2024
"Primorsko-goranska, Crikvenica",179 m2,630.000 €,96.29 km,22.05.2024
"Primorsko-goranska, Crikvenica",85 m2,320.000 €,96.18 km,22.05.2024
"Primorsko-goranska, Crikvenica",122.01 m2,395.000 €,96.19 km,22.05.2024
"Primorsko-goranska, Crikvenica",80 m2,280.000 €,96.31 km,22.05.2024
"Istrska, Grožnjan",350 m2,1.600.000 €,92.25 km,22.05.2024
"Primorsko-goranska, Crikvenica",264 m2,933.750 €,96.24 km,22.05.2024
"Istrska, Buje",270 m2,275.000 €,93.00 km,22.05.2024
"Istrska, Buje",1962 m2,1.150.000 €,93.02 km,22.05.2024
"Istrska, Buje",200 m2,850.000 €,93.05 km,22.05.2024
"Zagrebška, Samobor",481 m2,100 €,93.96 km,21.05.2024
"Istrska, Pazin - Okolica",76 m2,40.000 €,98.80 km,17.05.2024
"Primorsko-goranska, Opatija - Okolica",350 m2,989.500 €,80.69 km,16.05.2024
"Primorsko-goranska, Opatija - Okolica",84 m2,288.000 €,81.00 km,16.05.2024
"Primorsko-goranska, Mošćenička Draga",87 m2,186.000 €,94.27 km,16.05.2024
"Primorsko-goranska, Opatija",144.01 m2,980.000 €,79.52 km,16.05.2024
"Primorsko-goranska, Opatija",217.01 m2,1.680.000 €,79.50 km,16.05.2024
"Primorsko-goranska, Opatija",302.9 m2,2.700.000 €,79.55 km,16.05.2024
"Primorsko-goranska, Opatija - Okolica",240 m2,375.000 €,80.79 km,16.05.2024
"Primorsko-goranska, Opatija",64.59 m2,470.000 €,79.31 km,16.05.2024
"Primorsko-goranska, Mošćenička Draga",35 m2,550 €,94.25 km,16.05.2024
"Primorsko-goranska, Opatija",238.01 m2,1.500.000 €,79.30 km,16.05.2024
"Primorsko-goranska, Opatija",251.18 m2,2.030.000 €,79.51 km,16.05.2024
"Primorsko-goranska, Mošćenička Draga",35 m2,550 €,94.30 km,16.05.2024
"Primorsko-goranska, Mrkopalj",150 m2,550.000 €,90.29 km,16.05.2024
"Primorsko-goranska, Mošćenička Draga",30 m2,150.000 €,94.28 km,16.05.2024
"Primorsko-goranska, Kastav",84 m2,340.000 €,75.20 km,16.05.2024
"Primorsko-goranska, Opatija",100 m2,1.500 €,79.46 km,16.05.2024
"Primorsko-goranska, Opatija",100 m2,1.500 €,79.52 km,15.05.2024
"Primorsko-goranska, Opatija - Okolica",183.86 m2,790.000 €,80.80 km,15.05.2024
"Primorsko-goranska, Opatija - Okolica",70 m2,2.500 €,81.04 km,15.05.2024
"Primorsko-goranska, Kastav",280 m2,499.000 €,75.29 km,15.05.2024
"Primorsko-goranska, Opatija - Okolica",70 m2,2.500 €,80.81 km,15.05.2024
"Primorsko-goranska, Kostrena",230 m2,1.700.000 €,83.00 km,15.05.2024
"Primorsko-goranska, Lovran",300 m2,623.000 €,86.90 km,15.05.2024
"Primorsko-goranska, Crikvenica",450 m2,900.000 €,96.30 km,15.05.2024
"Primorsko-goranska, Matulji",520 m2,1.200.000 €,72.26 km,15.05.2024
"Primorsko-goranska, Kastav",100 m2,265.000 €,75.03 km,15.05.2024
"Primorsko-goranska, Kastav",97 m2,260.000 €,75.16 km,15.05.2024
"Primorsko-goranska, Opatija",183 m2,1 €,79.42 km,15.05.2024
"Istrska, Grožnjan",262 m2,100 €,92.43 km,14.05.2024
"Primorsko-goranska, Kostrena",399 m2,100 €,83.08 km,14.05.2024
"Primorsko-goranska, Rijeka",136.4 m2,100 €,77.41 km,14.05.2024
"Primorsko-goranska, Viškovo",476 m2,567.000 €,73.22 km,14.05.2024
"Primorsko-goranska, Matulji",185 m2,180.000 €,72.14 km,14.05.2024
"Primorsko-goranska, Matulji",160.24 m2,595.000 €,72.29 km,14.05.2024
"Primorsko-goranska, Opatija",222 m2,3.300 €,79.40 km,14.05.2024
"Primorsko-goranska, Opatija",140 m2,1.850 €,79.60 km,14.05.2024
"Istrska, Grožnjan",100 m2,125.000 €,92.40 km,14.05.2024
"Istrska, Buje",190 m2,640.000 €,92.83 km,14.05.2024
"Istrska, Umag",214 m2,100 €,98.81 km,14.05.2024
"Primorsko-goranska, Rijeka",425 m2,1.140.000 €,77.49 km,13.05.2024
"Primorsko-goranska, Crikvenica",122.8 m2,726.000 €,96.18 km,13.05.2024
"Primorsko-goranska, Kastav",155 m2,330.000 €,75.19 km,13.05.2024
"Primorsko-goranska, Rijeka",1200 m2,1.400.000 €,77.53 km,13.05.2024
"Primorsko-goranska, Opatija - Okolica",173 m2,675.000 €,80.74 km,13.05.2024
"Primorsko-goranska, Mošćenička Draga",100 m2,295.000 €,94.27 km,13.05.2024
"Primorsko-goranska, Crikvenica",120 m2,365.000 €,96.49 km,13.05.2024
"Primorsko-goranska, Opatija",117 m2,570.000 €,79.39 km,13.05.2024
"Primorsko-goranska, Kraljevica",391 m2,850.000 €,87.40 km,13.05.2024
"Primorsko-goranska, Matulji",110.71 m2,390.000 €,72.17 km,13.05.2024
"Primorsko-goranska, Matulji",150 m2,440.000 €,72.30 km,13.05.2024
"Primorsko-goranska, Crikvenica",166 m2,450.000 €,96.27 km,13.05.2024
"Primorsko-goranska, Opatija",97 m2,570.000 €,79.47 km,13.05.2024
"Primorsko-goranska, Kostrena",62 m2,1.400 €,83.16 km,13.05.2024
"Primorsko-goranska, Crikvenica",386 m2,570.000 €,96.17 km,13.05.2024
"Primorsko-goranska, Vinodolska Općina",120 m2,370.000 €,94.33 km,13.05.2024
"Primorsko-goranska, Rijeka",200 m2,890.000 €,77.63 km,13.05.2024
"Primorsko-goranska, Matulji",127 m2,1.040.000 €,71.95 km,13.05.2024
"Primorsko-goranska, Opatija",118.4 m2,685.000 €,79.46 km,13.05.2024
"Primorsko-goranska, Fužine",113 m2,415.000 €,84.49 km,13.05.2024
"Primorsko-goranska, Crikvenica",400 m2,2.000.000 €,96.42 km,13.05.2024
"Primorsko-goranska, Opatija",222 m2,1.540.000 €,79.52 km,13.05.2024
"Primorsko-goranska, Lokve",169 m2,510.000 €,75.00 km,13.05.2024
"Primorsko-goranska, Opatija - Okolica",365.6 m2,1.350.000 €,80.75 km,13.05.2024
"Primorsko-goranska, Opatija",92 m2,100 €,79.40 km,13.05.2024
"Primorsko-goranska, Crikvenica",232.5 m2,650.000 €,96.29 km,13.05.2024
"Primorsko-goranska, Kraljevica",115 m2,529.000 €,87.68 km,13.05.2024
"Primorsko-goranska, Kostrena",112 m2,554.000 €,83.14 km,13.05.2024
"Primorsko-goranska, Rijeka",82 m2,235.000 €,77.42 km,13.05.2024
"Primorsko-goranska, Opatija",99.4 m2,1 €,79.48 km,13.05.2024
"Primorsko-goranska, Opatija",118.47 m2,750.000 €,79.42 km,13.05.2024
"Primorsko-goranska, Crikvenica",88 m2,260.000 €,96.41 km,13.05.2024
"Primorsko-goranska, Crikvenica",120 m2,290.000 €,96.45 km,13.05.2024
"Primorsko-goranska, Opatija",83.22 m2,510.000 €,79.42 km,13.05.2024
"Primorsko-goranska, Crikvenica",105 m2,685.000 €,96.24 km,13.05.2024
"Primorsko-goranska, Omišalj",195 m2,780.000 €,93.86 km,13.05.2024
"Primorsko-goranska, Omišalj",204 m2,810.000 €,93.82 km,13.05.2024
"Primorsko-goranska, Rijeka",113 m2,400.000 €,77.71 km,10.05.2024
"Primorsko-goranska, Rijeka",66.3 m2,270.000 €,77.68 km,10.05.2024
"Primorsko-goranska, Opatija",65 m2,320.000 €,79.53 km,10.05.2024
"Primorsko-goranska, Crikvenica",100 m2,100 €,96.03 km,10.05.2024
"Primorsko-goranska, Crikvenica",100 m2,100 €,96.27 km,10.05.2024
"Primorsko-goranska, Crikvenica",100 m2,460.000 €,96.20 km,10.05.2024
"Primorsko-goranska, Crikvenica",85 m2,100 €,96.21 km,10.05.2024
"Primorsko-goranska, Crikvenica",85 m2,100 €,96.29 km,10.05.2024
"Primorsko-goranska, Crikvenica",98 m2,260.000 €,96.42 km,10.05.2024
"Primorsko-goranska, Crikvenica",110 m2,260.000 €,96.05 km,10.05.2024
